id,symptom_name,normalized_name,definition,synonyms,uri,icd_code,source,body_system,release
1715,"Abnormal laboratory results, not elsewhere classified, unspecified","abnormal laboratory results, not elsewhere classified, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/599682963/unspecified,MG71.Z,ICD-11 MMS Chapter 21 API,,2025-01
1284,Abnormal level of blood mineral,abnormal level of blood mineral,,,https://id.who.int/icd/release/11/2025-01/mms/134163862,MA18.1,ICD-11 MMS Chapter 21 API,,2025-01
1423,"Abnormal level of drugs, medicaments and biological substances in cerebrospinal fluid","abnormal level of drugs, medicaments and biological substances in cerebrospinal fluid",,,https://id.who.int/icd/release/11/2025-01/mms/1911780703,MB70.2,ICD-11 MMS Chapter 21 API,,2025-01
1170,"Abnormal level of drugs, medicaments and biological substances in specimens from female genital organs","abnormal level of drugs, medicaments and biological substances in specimens from female genital organs",,,https://id.who.int/icd/release/11/2025-01/mms/1259185185,MF62,ICD-11 MMS Chapter 21 API,,2025-01
1181,"Abnormal level of drugs, medicaments and biological substances in specimens from male genital organs","abnormal level of drugs, medicaments and biological substances in specimens from male genital organs",,,https://id.who.int/icd/release/11/2025-01/mms/1475701922,MF72,ICD-11 MMS Chapter 21 API,,2025-01
1240,"Abnormal level of drugs, medicaments and biological substances in specimens from other organs, systems and tissues","abnormal level of drugs, medicaments and biological substances in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/426884892,MG62,ICD-11 MMS Chapter 21 API,,2025-01
1476,"Abnormal level of drugs, medicaments and biological substances in specimens from respiratory organs and thorax","abnormal level of drugs, medicaments and biological substances in specimens from respiratory organs and thorax",,,https://id.who.int/icd/release/11/2025-01/mms/1250559007,MD40.2,ICD-11 MMS Chapter 21 API,,2025-01
1505,"Abnormal level of drugs, medicaments or biological substances in specimens from digestive organs of abdominal cavity","abnormal level of drugs, medicaments or biological substances in specimens from digestive organs of abdominal cavity",,,https://id.who.int/icd/release/11/2025-01/mms/1450364062,ME20.2,ICD-11 MMS Chapter 21 API,,2025-01
1421,Abnormal level of enzymes in cerebrospinal fluid,abnormal level of enzymes in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/1612048438,MB70.0,ICD-11 MMS Chapter 21 API,,2025-01
1503,Abnormal level of enzymes in specimens from digestive organs or abdominal cavity,abnormal level of enzymes in specimens from digestive organs or abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/1200902645,ME20.0,ICD-11 MMS Chapter 21 API,,2025-01
1168,Abnormal level of enzymes in specimens from female genital organs,abnormal level of enzymes in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1525365068,MF60,ICD-11 MMS Chapter 21 API,,2025-01
1179,Abnormal level of enzymes in specimens from male genital organs,abnormal level of enzymes in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1175712203,MF70,ICD-11 MMS Chapter 21 API,,2025-01
1238,"Abnormal level of enzymes in specimens from other organs, systems and tissues","abnormal level of enzymes in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/144122487,MG60,ICD-11 MMS Chapter 21 API,,2025-01
1474,Abnormal level of enzymes in specimens from respiratory organs and thorax,abnormal level of enzymes in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/1533843828,MD40.0,ICD-11 MMS Chapter 21 API,,2025-01
1422,Abnormal level of hormones in cerebrospinal fluid,abnormal level of hormones in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/90056096,MB70.1,ICD-11 MMS Chapter 21 API,,2025-01
1504,Abnormal level of hormones in specimens from digestive organs or abdominal cavity,abnormal level of hormones in specimens from digestive organs or abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/585079905,ME20.1,ICD-11 MMS Chapter 21 API,,2025-01
1169,Abnormal level of hormones in specimens from female genital organs,abnormal level of hormones in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/1067513054,MF61,ICD-11 MMS Chapter 21 API,,2025-01
1180,Abnormal level of hormones in specimens from male genital organs,abnormal level of hormones in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/592985183,MF71,ICD-11 MMS Chapter 21 API,,2025-01
1239,"Abnormal level of hormones in specimens from other organs, systems and tissues","abnormal level of hormones in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/1843195875,MG61,ICD-11 MMS Chapter 21 API,,2025-01
1475,Abnormal level of hormones in specimens from respiratory organs and thorax,abnormal level of hormones in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/1042765026,MD40.1,ICD-11 MMS Chapter 21 API,,2025-01
1716,Abnormal level of lead in blood,abnormal level of lead in blood,Abnormal level of lead in blood in those who have been exposed to lead and who require management.,,https://id.who.int/icd/release/11/2025-01/mms/1183434772,MA13.00,ICD-11 MMS Chapter 21 API,,2025-01
1272,"Abnormal level of other specified substances chiefly nonmedicinal as to source in blood, blood-forming organs and the immune system","abnormal level of other specified substances chiefly nonmedicinal as to source in blood, blood-forming organs and the immune system",,,https://id.who.int/icd/release/11/2025-01/mms/1600579423/other,MA13.Y,ICD-11 MMS Chapter 21 API,,2025-01
1424,Abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid,abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/347650251,MB70.3,ICD-11 MMS Chapter 21 API,,2025-01
1506,Abnormal level of substances chiefly nonmedicinal as to source in specimens from digestive organs and abdominal cavity,abnormal level of substances chiefly nonmedicinal as to source in specimens from digestive organs and abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/859373836,ME20.3,ICD-11 MMS Chapter 21 API,,2025-01
1171,Abnormal level of substances chiefly nonmedicinal as to source in specimens from female genital organs,abnormal level of substances chiefly nonmedicinal as to source in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/776366517,MF63,ICD-11 MMS Chapter 21 API,,2025-01
1182,Abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs,abnormal level of substances chiefly nonmedicinal as to source in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/851353908,MF73,ICD-11 MMS Chapter 21 API,,2025-01
1241,"Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues","abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/2084205194,MG63,ICD-11 MMS Chapter 21 API,,2025-01
1477,Abnormal level of substances chiefly nonmedicinal as to source in specimens from respiratory organs and thorax,abnormal level of substances chiefly nonmedicinal as to source in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/801229195,MD40.3,ICD-11 MMS Chapter 21 API,,2025-01
1263,Abnormal level of unspecified serum enzyme,abnormal level of unspecified serum enzyme,,,https://id.who.int/icd/release/11/2025-01/mms/1070128599,MA10.2,ICD-11 MMS Chapter 21 API,,2025-01
1262,Abnormal levels of other specified serum enzymes,abnormal levels of other specified serum enzymes,,,https://id.who.int/icd/release/11/2025-01/mms/1518538819,MA10.1,ICD-11 MMS Chapter 21 API,,2025-01
1205,Abnormal levels of serum electrolytes in the urine,abnormal levels of serum electrolytes in the urine,,,https://id.who.int/icd/release/11/2025-01/mms/1798350834,MF98,ICD-11 MMS Chapter 21 API,,2025-01
1635,"Abnormal levels of serum electrolytes in the urine, unspecified","abnormal levels of serum electrolytes in the urine, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1798350834/unspecified,MF98.Z,ICD-11 MMS Chapter 21 API,,2025-01
1426,Abnormal microbiological findings in cerebrospinal fluid,abnormal microbiological findings in cerebrospinal fluid,,,https://id.who.int/icd/release/11/2025-01/mms/35514059,MB70.5,ICD-11 MMS Chapter 21 API,,2025-01
1508,Abnormal microbiological findings in specimens from digestive organs and abdominal cavity,abnormal microbiological findings in specimens from digestive organs and abdominal cavity,,,https://id.who.int/icd/release/11/2025-01/mms/631004938,ME20.5,ICD-11 MMS Chapter 21 API,,2025-01
1173,Abnormal microbiological findings in specimens from female genital organs,abnormal microbiological findings in specimens from female genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/954415029,MF65,ICD-11 MMS Chapter 21 API,,2025-01
1184,Abnormal microbiological findings in specimens from male genital organs,abnormal microbiological findings in specimens from male genital organs,,,https://id.who.int/icd/release/11/2025-01/mms/605814582,MF75,ICD-11 MMS Chapter 21 API,,2025-01
1243,"Abnormal microbiological findings in specimens from other organs, systems and tissues","abnormal microbiological findings in specimens from other organs, systems and tissues",,,https://id.who.int/icd/release/11/2025-01/mms/1788816520,MG65,ICD-11 MMS Chapter 21 API,,2025-01
1479,Abnormal microbiological findings in specimens from respiratory organs and thorax,abnormal microbiological findings in specimens from respiratory organs and thorax,,,https://id.who.int/icd/release/11/2025-01/mms/962893707,MD40.5,ICD-11 MMS Chapter 21 API,,2025-01
1785,"Abnormal microbiological findings in specimens from respiratory organs and thorax, unspecified","abnormal microbiological findings in specimens from respiratory organs and thorax, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/962893707/unspecified,MD40.5Z,ICD-11 MMS Chapter 21 API,,2025-01
1160,Abnormal micturition,abnormal micturition,,,https://id.who.int/icd/release/11/2025-01/mms/1007936831,MF50,ICD-11 MMS Chapter 21 API,,2025-01
1614,"Abnormal micturition, unspecified","abnormal micturition, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1007936831/unspecified,MF50.Z,ICD-11 MMS Chapter 21 API,,2025-01
1296,Abnormal plasma viscosity,abnormal plasma viscosity,,,https://id.who.int/icd/release/11/2025-01/mms/196184703,MA1A.1,ICD-11 MMS Chapter 21 API,,2025-01
1386,Abnormal posture,abnormal posture,,,https://id.who.int/icd/release/11/2025-01/mms/589353628,MB47.1,ICD-11 MMS Chapter 21 API,,2025-01
1718,Abnormal reaction to tuberculin test,abnormal reaction to tuberculin test,,,https://id.who.int/icd/release/11/2025-01/mms/741356478,MA14.10,ICD-11 MMS Chapter 21 API,,2025-01
1385,Abnormal reflex,abnormal reflex,,,https://id.who.int/icd/release/11/2025-01/mms/1181425418,MB47.0,ICD-11 MMS Chapter 21 API,,2025-01
1249,Abnormal results of function studies of other organs and systems,abnormal results of function studies of other organs and systems,,,https://id.who.int/icd/release/11/2025-01/mms/1173437587,MG72,ICD-11 MMS Chapter 21 API,,2025-01
917,Abnormal results of other endocrine function studies,abnormal results of other endocrine function studies,,,https://id.who.int/icd/release/11/2025-01/mms/949496273,MA51,ICD-11 MMS Chapter 21 API,,2025-01
916,Abnormal results of thyroid function studies,abnormal results of thyroid function studies,,,https://id.who.int/icd/release/11/2025-01/mms/1574167621,MA50,ICD-11 MMS Chapter 21 API,,2025-01
1251,"Abnormal results, not elsewhere classified, unspecified","abnormal results, not elsewhere classified, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/964882431/unspecified,MG7Z,ICD-11 MMS Chapter 21 API,,2025-01
1555,Abnormal sensitivity to light or UV radiation of uncertain or unspecified nature,abnormal sensitivity to light or uv radiation of uncertain or unspecified nature,,,https://id.who.int/icd/release/11/2025-01/mms/654408969,ME66.0,ICD-11 MMS Chapter 21 API,,2025-01
904,Abnormal serum enzyme levels,abnormal serum enzyme levels,,,https://id.who.int/icd/release/11/2025-01/mms/1639558037,MA10,ICD-11 MMS Chapter 21 API,,2025-01
1095,Abnormal sputum,abnormal sputum,"This category includes the abnormalities of quantity, colour and odor in sputum which may suggest an aetiology. Patients with chronic bronchitis typically expectorate small quantities of mucoid yellow material. A foul or fetid odor should suggest infection from anaerobic organisms, usually in cases of lung abscess. Occasionally, greatly excessive amounts of sputum or ""bronchorrhoea"" is associated with bronchioloalveolar carcinoma.",,https://id.who.int/icd/release/11/2025-01/mms/51680510,MD10,ICD-11 MMS Chapter 21 API,,2025-01
1207,Abnormal urine levels of substances chiefly nonmedicinal as to source,abnormal urine levels of substances chiefly nonmedicinal as to source,,,https://id.who.int/icd/release/11/2025-01/mms/1783135925,MF9A,ICD-11 MMS Chapter 21 API,,2025-01
1096,Abnormalities of breathing,abnormalities of breathing,"Abnormalities of breathing includes dyspnoea, stridor, wheezing, periodic breathing, hyperventilation, mouth breathing, hiccough, sneezing, and other abnormalities of breathing.",,https://id.who.int/icd/release/11/2025-01/mms/208980208,MD11,ICD-11 MMS Chapter 21 API,,2025-01
1463,"Abnormalities of breathing, unspecified","abnormalities of breathing, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/208980208/unspecified,MD11.Z,ICD-11 MMS Chapter 21 API,,2025-01
1044,Abnormalities of gait or mobility,abnormalities of gait or mobility,"Abnormalities of gait or mobility include ataxic gait, paralytic gait, difficulty in walking, immobility, and other abnormalities of gait or mobility.",,https://id.who.int/icd/release/11/2025-01/mms/1543612222,MB44,ICD-11 MMS Chapter 21 API,,2025-01
1370,"Abnormalities of gait or mobility, unspecified","abnormalities of gait or mobility, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1543612222/unspecified,MB44.Z,ICD-11 MMS Chapter 21 API,,2025-01
1086,Abnormalities of heart beat,abnormalities of heart beat,"Abnormalities of heart beat is arrhythmia which is any disorder of the heart rate or rhythm. It means that the heart beats too quickly, too slowly or with an irregular pattern.",,https://id.who.int/icd/release/11/2025-01/mms/449943282,MC81,ICD-11 MMS Chapter 21 API,,2025-01
1444,"Abnormalities of heart beat, unspecified","abnormalities of heart beat, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/449943282/unspecified,MC81.Z,ICD-11 MMS Chapter 21 API,,2025-01
1293,Abnormalities of other specified plasma proteins,abnormalities of other specified plasma proteins,,,https://id.who.int/icd/release/11/2025-01/mms/353696620/other,MA19.Y,ICD-11 MMS Chapter 21 API,,2025-01
1294,Abnormalities of unspecified plasma proteins,abnormalities of unspecified plasma proteins,,,https://id.who.int/icd/release/11/2025-01/mms/353696620/unspecified,MA19.Z,ICD-11 MMS Chapter 21 API,,2025-01
1115,Abnormalities related to hepatobiliary system,abnormalities related to hepatobiliary system,,,https://id.who.int/icd/release/11/2025-01/mms/1141287295,ME10,ICD-11 MMS Chapter 21 API,,2025-01
1290,Abnormality of albumin,abnormality of albumin,,,https://id.who.int/icd/release/11/2025-01/mms/1434662571,MA19.0,ICD-11 MMS Chapter 21 API,,2025-01
1291,Abnormality of alphafetoprotein,abnormality of alphafetoprotein,,,https://id.who.int/icd/release/11/2025-01/mms/1147513794,MA19.1,ICD-11 MMS Chapter 21 API,,2025-01
1292,Abnormality of globulin,abnormality of globulin,,,https://id.who.int/icd/release/11/2025-01/mms/818477887,MA19.2,ICD-11 MMS Chapter 21 API,,2025-01
1279,Abnormality of red blood cells,abnormality of red blood cells,,,https://id.who.int/icd/release/11/2025-01/mms/61973866,MA16.0,ICD-11 MMS Chapter 21 API,,2025-01
1735,"Abnormality of red blood cells, unspecified","abnormality of red blood cells, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/61973866/unspecified,MA16.0Z,ICD-11 MMS Chapter 21 API,,2025-01
1047,Abnormality of tonus or reflex,abnormality of tonus or reflex,,,https://id.who.int/icd/release/11/2025-01/mms/560509568,MB47,ICD-11 MMS Chapter 21 API,,2025-01
1399,"Abnormality of tonus or reflex, unspecified","abnormality of tonus or reflex, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/560509568/unspecified,MB47.Z,ICD-11 MMS Chapter 21 API,,2025-01
1280,Abnormality of white blood cells,abnormality of white blood cells,,,https://id.who.int/icd/release/11/2025-01/mms/1998386581,MA16.1,ICD-11 MMS Chapter 21 API,,2025-01
1738,"Abnormality of white blood cells, unspecified","abnormality of white blood cells, unspecified",,,https://id.who.int/icd/release/11/2025-01/mms/1998386581/unspecified,MA16.1Z,ICD-11 MMS Chapter 21 API,,2025-01
